iter	RMSE
0	28.66717857
1	28.42466589
2	28.17659273
3	27.92798155
4	27.70905429
5	27.47102186
6	27.25278793
7	27.03209406
8	26.80688372
9	26.58617428
10	26.37356026
11	26.14385339
12	25.91901591
13	25.71017281
14	25.50376644
15	25.28378319
16	25.08005688
17	24.88211393
18	24.67644075
19	24.46727889
20	24.26649833
21	24.06875549
22	23.86838384
23	23.66937482
24	23.47865351
25	23.29044388
26	23.09886287
27	22.90183045
28	22.71001955
29	22.53324972
30	22.35455832
31	22.15968234
32	21.9768464
33	21.80917259
34	21.63389378
35	21.45883827
36	21.27829184
37	21.09890221
38	20.92319516
39	20.75157177
40	20.57510888
41	20.40671715
42	20.23319756
43	20.07166488
44	19.91451319
45	19.745038
46	19.5966972
47	19.44830811
48	19.29859561
49	19.14367327
50	18.98823875
51	18.84814983
52	18.70011654
53	18.54869428
54	18.39971009
55	18.25095956
56	18.10984904
57	17.97381715
58	17.83085253
59	17.68913391
60	17.5569903
61	17.42886068
62	17.28637399
63	17.14666719
64	17.0100253
65	16.87872166
66	16.74719257
67	16.63144763
68	16.49799947
69	16.36585044
70	16.25220379
71	16.12235583
72	15.99403122
73	15.86669564
74	15.73633136
75	15.61286711
76	15.49548733
77	15.38579151
78	15.26193764
79	15.14743744
80	15.02911467
81	14.90713187
82	14.8080183
83	14.70759437
84	14.59510332
85	14.48706252
86	14.37571925
87	14.27504066
88	14.17456205
89	14.0677683
90	13.96547986
91	13.85729902
92	13.75707994
93	13.65950099
94	13.5568642
95	13.45836089
96	13.36443859
97	13.26334457
98	13.1686931
99	13.07254058
100	12.98825618
101	12.90097216
102	12.80943794
103	12.72897418
104	12.63589774
105	12.5426115
106	12.46178485
107	12.37565654
108	12.28903645
109	12.1991911
110	12.11227162
111	12.02991551
112	11.94328749
113	11.86472737
114	11.77931013
115	11.69683216
116	11.61224478
117	11.53140205
118	11.45358169
119	11.37924589
120	11.3041593
121	11.22325688
122	11.14643443
123	11.07201258
124	10.99702679
125	10.92449396
126	10.85612489
127	10.78391507
128	10.70991563
129	10.63840215
130	10.56444363
131	10.50008582
132	10.42907393
133	10.36233154
134	10.29888423
135	10.23517596
136	10.17002685
137	10.1081824
138	10.04323497
139	9.981848563
140	9.916075714
141	9.854373703
142	9.792575039
143	9.737165189
144	9.68010045
145	9.620820311
146	9.563261825
147	9.511348585
148	9.456821365
149	9.406586926
150	9.350588821
151	9.297731873
152	9.245766765
153	9.190549744
154	9.135663112
155	9.085051135
156	9.030686638
157	8.975572618
158	8.923773558
159	8.87076218
160	8.826959803
161	8.776738506
162	8.735807453
163	8.68265702
164	8.634536081
165	8.584635151
166	8.538126971
167	8.49537765
168	8.452979905
169	8.402222095
170	8.35741428
171	8.312709509
172	8.272377891
173	8.234931681
174	8.194664205
175	8.155769064
176	8.113107683
177	8.07214382
178	8.030472996
179	7.98979886
180	7.949357254
181	7.908950031
182	7.8703242
183	7.831933047
184	7.795450747
185	7.75572795
186	7.718983752
187	7.680735954
188	7.644492257
189	7.612305358
190	7.577870745
191	7.541219809
192	7.508444915
193	7.471880754
194	7.437188649
195	7.406083555
196	7.37434549
197	7.342772261
198	7.309485179
199	7.276052745
200	7.246194307
201	7.217068832
202	7.190539387
203	7.161527118
204	7.132090219
205	7.10200421
206	7.07360498
207	7.048894525
208	7.019099128
209	6.988392539
210	6.960916211
211	6.935058961
212	6.907557603
213	6.882680254
214	6.856207994
215	6.830443941
216	6.803837992
217	6.778376611
218	6.751146223
219	6.724804877
220	6.697620546
221	6.674005779
222	6.649105122
223	6.624405942
224	6.601465661
225	6.577910094
226	6.554406604
227	6.531540417
228	6.511445765
229	6.48937036
230	6.467763816
231	6.448294881
232	6.428403659
233	6.408739753
234	6.387301081
235	6.368845306
236	6.348640085
237	6.326759847
238	6.307497895
239	6.286496133
240	6.264781023
241	6.247986959
242	6.228336382
243	6.207358733
244	6.189045778
245	6.169358047
246	6.149709768
247	6.129269323
248	6.113311383
249	6.097211442
250	6.080873518
251	6.065117128
252	6.046408573
253	6.029723534
254	6.014939099
255	5.997073217
256	5.981029474
257	5.966144768
258	5.952183873
259	5.93437835
260	5.919069099
261	5.904062331
262	5.88799809
263	5.874658004
264	5.862140616
265	5.846634498
266	5.834780292
267	5.819826328
268	5.806442487
269	5.792659839
270	5.779154568
271	5.768354615
272	5.753397586
273	5.738545065
274	5.727132342
275	5.715197791
276	5.703599017
277	5.692068743
278	5.679055936
279	5.666791601
280	5.655026042
281	5.644878859
282	5.635160154
283	5.624929849
284	5.613175929
285	5.603546886
286	5.59385932
287	5.583417205
288	5.57372342
289	5.563639581
290	5.553964894
291	5.543134661
292	5.532032676
293	5.522758965
294	5.514150141
295	5.505209652
296	5.494826703
297	5.486785316
298	5.478554764
299	5.467600174
300	5.458304462
301	5.450027732
302	5.441958737
303	5.43171358
304	5.423805518
305	5.413579429
306	5.405709277
307	5.397272759
308	5.389062939
309	5.381329708
310	5.374507922
311	5.366391717
312	5.358874787
313	5.350210955
314	5.34249746
315	5.335152978
316	5.328475277
317	5.32080108
318	5.314622215
319	5.306420148
320	5.300754511
321	5.294587857
322	5.288144739
323	5.282841314
324	5.275227478
325	5.268181329
326	5.261473465
327	5.255210509
328	5.24852866
329	5.241550072
330	5.235060487
331	5.229269151
332	5.223326183
333	5.2182565
334	5.211281468
335	5.205675918
336	5.199952059
337	5.194532535
338	5.189917979
339	5.184196969
340	5.178837544
341	5.172592056
342	5.166719107
343	5.160712774
344	5.156575288
345	5.152141529
346	5.147474572
347	5.142526903
348	5.137556245
349	5.132500115
350	5.127691754
351	5.123466288
352	5.119514305
353	5.115403247
354	5.111327591
355	5.106486547
356	5.102747824
357	5.098046793
358	5.093732187
359	5.089468275
360	5.08526126
361	5.080982023
362	5.076369311
363	5.072021264
364	5.068044833
365	5.064586109
366	5.060881104
367	5.05709211
368	5.053237774
369	5.049444623
370	5.046189265
371	5.042749065
372	5.038998041
373	5.034907517
374	5.031585175
375	5.027997699
376	5.024369368
377	5.019872259
378	5.016355617
379	5.01250672
380	5.009308649
381	5.005582307
382	5.002086073
383	4.998704004
384	4.995755343
385	4.992350229
386	4.98911708
387	4.985890963
388	4.983137078
389	4.980298382
390	4.977884439
391	4.975150919
392	4.972306759
393	4.96888499
394	4.96622893
395	4.96353847
396	4.960783205
397	4.958136344
398	4.954664885
399	4.952043
400	4.949906469
401	4.947124527
402	4.94417006
403	4.941172688
404	4.938104982
405	4.936112968
406	4.934207776
407	4.93233813
408	4.929244932
409	4.926843561
410	4.923826447
411	4.921596874
412	4.918633728
413	4.916512981
414	4.914473439
415	4.911991301
416	4.909679718
417	4.906940191
418	4.905104833
419	4.903243808
420	4.901135214
421	4.898452601
422	4.896265995
423	4.894231031
424	4.892012678
425	4.889392445
426	4.887857216
427	4.885392617
428	4.883229957
429	4.881334615
430	4.879206084
431	4.876915096
432	4.875045414
433	4.873401124
434	4.871327272
435	4.869458584
436	4.867453471
437	4.864790659
438	4.862727423
439	4.860796833
440	4.858967096
441	4.857270076
442	4.855790653
443	4.853920058
444	4.851860919
445	4.84979722
446	4.84785871
447	4.845775798
448	4.843571913
449	4.84148373
450	4.839518626
451	4.83792093
452	4.836368288
453	4.834185531
454	4.832407819
455	4.830605697
456	4.828900459
457	4.82723295
458	4.825493804
459	4.823998761
460	4.822262017
461	4.820004631
462	4.818390869
463	4.816579787
464	4.815082886
465	4.814072592
466	4.812589769
467	4.811557309
468	4.810132335
469	4.808542146
470	4.806917637
471	4.806140024
472	4.804779057
473	4.802997494
474	4.801809969
475	4.800495116
476	4.799200159
477	4.798042602
478	4.796512465
479	4.794809201
480	4.793376811
481	4.792180883
482	4.790937415
483	4.789693635
484	4.788030233
485	4.786675261
486	4.785328166
487	4.783754718
488	4.782278696
489	4.780564638
490	4.779126268
491	4.777581526
492	4.776154791
493	4.774965698
494	4.773240095
495	4.771831641
496	4.770417427
497	4.769064577
498	4.767990875
499	4.766874833
500	4.765626837
501	4.764367634
502	4.76307166
503	4.761610223
504	4.760184336
505	4.758998312
506	4.757778425
507	4.75641878
508	4.755304696
509	4.754028527
510	4.752749086
511	4.751725112
512	4.750728974
513	4.749425521
514	4.748479386
515	4.74690541
516	4.746038811
517	4.744600712
518	4.743214554
519	4.742138407
520	4.741166604
521	4.740047079
522	4.738983021
523	4.737742144
524	4.736199247
525	4.735283761
526	4.734075189
527	4.733020607
528	4.732145954
529	4.73097811
530	4.729725657
531	4.728555272
532	4.727435554
533	4.72624518
534	4.725201708
535	4.724212521
536	4.722825708
537	4.721720839
538	4.720696298
539	4.719473877
540	4.718440848
541	4.717247332
542	4.716228934
543	4.715160463
544	4.714142678
545	4.713129675
546	4.711871458
547	4.710921127
548	4.709855768
549	4.708624055
550	4.707644423
551	4.706466199
552	4.705188309
553	4.704071698
554	4.703039665
555	4.70202575
556	4.701175686
557	4.699953452
558	4.69901701
559	4.698101455
560	4.697131741
561	4.696012317
562	4.695095316
563	4.694349549
564	4.693178049
565	4.692463499
566	4.69173601
567	4.690428834
568	4.689643061
569	4.688904089
570	4.687965887
571	4.687089864
572	4.686411479
573	4.685462207
574	4.684769878
575	4.683890704
576	4.683013795
577	4.681924962
578	4.680968601
579	4.679999696
580	4.679489142
581	4.678599779
582	4.677819406
583	4.677096475
584	4.676294136
585	4.675524967
586	4.674518857
587	4.673020597
588	4.671600415
589	4.670560953
590	4.669830397
591	4.668844204
592	4.668184119
593	4.667264372
594	4.666272644
595	4.66552612
596	4.664658541
597	4.66383583
598	4.662652786
599	4.66202643
600	4.661045722
601	4.660407031
602	4.659502218
603	4.658561231
604	4.657921575
605	4.657024463
606	4.656194471
607	4.655609644
608	4.654748752
609	4.653843791
610	4.653176534
611	4.652224811
612	4.65156959
613	4.650493721
614	4.649671347
615	4.648759652
616	4.647642677
617	4.646767435
618	4.645878762
619	4.645259083
620	4.644312359
621	4.643618258
622	4.642246232
623	4.641210271
624	4.640705478
625	4.63959197
626	4.638725794
627	4.637989706
628	4.637132752
629	4.636170904
630	4.635430818
631	4.634668581
632	4.633726424
633	4.632761683
634	4.631875354
635	4.630913686
636	4.630267142
637	4.629591847
638	4.628816532
639	4.62818438
640	4.627451307
641	4.626716161
642	4.62519965
643	4.624585419
644	4.623582697
645	4.622597044
646	4.621740677
647	4.620902767
648	4.620215866
649	4.619274644
650	4.61842845
651	4.617649621
652	4.616762872
653	4.616037665
654	4.615290929
655	4.614777918
656	4.613711184
657	4.612895703
658	4.61215454
659	4.611574992
660	4.610437842
661	4.609173208
662	4.608316801
663	4.607127496
664	4.60637592
665	4.605940852
666	4.605087548
667	4.604192923
668	4.603482611
669	4.602698761
670	4.601928923
671	4.601198782
672	4.600358262
673	4.599791879
674	4.598884914
675	4.597994038
676	4.597361383
677	4.596375127
678	4.595774343
679	4.594786365
680	4.593928849
681	4.593295964
682	4.592314993
683	4.591438671
684	4.59083484
685	4.590026121
686	4.589116795
687	4.588187332
688	4.587744974
689	4.586960944
690	4.585975085
691	4.585358425
692	4.584732262
693	4.584280245
694	4.582851399
695	4.581935259
696	4.581379883
697	4.580451692
698	4.57980624
699	4.578935686
700	4.577988225
701	4.577113896
702	4.576778377
703	4.576179942
704	4.575534571
705	4.574930131
706	4.574113635
707	4.573394763
708	4.572722899
709	4.571992432
710	4.571473386
711	4.570757166
712	4.569936837
713	4.569228825
714	4.568556068
715	4.568008507
716	4.567180861
717	4.566465079
